#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ES|CBLA||HHE|29.033867|-13.703316|270.0|0.0|90.0|0.0|NmxTrillium120PA@1201VmsNmxTaurus40VppLImp1mHzRFon|480384000.0|1.0|M/S|100.0|2018-08-03T11:15:28|2025-04-16T06:50:26
ES|CBLA||HHE|29.033867|-13.703316|270.0|0.0|90.0|0.0|NmxTrillium120PA@1201VmsNmxCentaur40VppLPh1mHzRFon|480385000.0|1.0|M/S|100.0|2025-04-16T07:15:31|
ES|CBLA||HHN|29.033867|-13.703316|270.0|0.0|0.0|0.0|NmxTrillium120PA@1201VmsNmxTaurus40VppLImp1mHzRFon|480384000.0|1.0|M/S|100.0|2018-08-03T11:15:28|2025-04-16T06:50:26
ES|CBLA||HHN|29.033867|-13.703316|270.0|0.0|0.0|0.0|NmxTrillium120PA@1201VmsNmxCentaur40VppLPh1mHzRFon|480385000.0|1.0|M/S|100.0|2025-04-16T07:15:31|
ES|CBLA||HHZ|29.033867|-13.703316|270.0|0.0|0.0|-90.0|NmxTrillium120PA@1201VmsNmxTaurus40VppLImp1mHzRFon|480384000.0|1.0|M/S|100.0|2018-08-03T11:15:28|2025-04-16T06:50:26
ES|CBLA||HHZ|29.033867|-13.703316|270.0|0.0|0.0|-90.0|NmxTrillium120PA@1201VmsNmxCentaur40VppLPh1mHzRFon|480385000.0|1.0|M/S|100.0|2025-04-16T07:15:31|
ES|CBOL||HHE|28.31442|-16.830646|1161.0|0.0|90.0|0.0|GrlpCMG6T30s100Hz2400VmsGrlpDM24Mk3FixGainTap6|748602000.0|1.0|M/S|100.0|2016-07-30T10:45:00|2021-08-31T09:46:40
ES|CBOL||HHE|28.31442|-16.830646|1161.0|0.0|90.0|0.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2021-08-31T10:03:19|
ES|CBOL||HHN|28.31442|-16.830646|1161.0|0.0|0.0|0.0|GrlpCMG6T30s100Hz2400VmsGrlpDM24Mk3FixGainTap6|747352000.0|1.0|M/S|100.0|2016-07-30T10:45:00|2021-08-31T09:46:40
ES|CBOL||HHN|28.31442|-16.830646|1161.0|0.0|0.0|0.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2021-08-31T10:03:19|
ES|CBOL||HHZ|28.31442|-16.830646|1161.0|0.0|0.0|-90.0|GrlpCMG6T30s100Hz2400VmsGrlpDM24Mk3FixGainTap6|747352000.0|1.0|M/S|100.0|2016-07-30T10:45:00|2021-08-31T09:46:40
ES|CBOL||HHZ|28.31442|-16.830646|1161.0|0.0|0.0|-90.0|NmxTCompact120s754VmsNmxCentaur40VppLinPha1mHzRFon|301711000.0|1.0|M/S|100.0|2021-08-31T10:03:19|
ES|CBRE||HHE|28.627437|-17.791452|575.0|0.0|90.0|0.0|NmxTCompact20s753Vms_NmxTaurus40VppLowImp1mHzRFon|301239000.0|1.0|M/S|100.0|2018-04-03T13:46:57|2019-03-21T11:24:47
ES|CBRE||HHE|28.627437|-17.791452|575.0|0.0|90.0|0.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2019-03-21T11:56:10|
ES|CBRE||HHN|28.627437|-17.791452|575.0|0.0|0.0|0.0|NmxTCompact20s753Vms_NmxTaurus40VppLowImp1mHzRFon|301239000.0|1.0|M/S|100.0|2018-04-03T13:46:57|2019-03-21T11:24:47
ES|CBRE||HHN|28.627437|-17.791452|575.0|0.0|0.0|0.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2019-03-21T11:56:10|
ES|CBRE||HHZ|28.627437|-17.791452|575.0|0.0|0.0|-90.0|NmxTCompact20s753Vms_NmxTaurus40VppLowImp1mHzRFon|301239000.0|1.0|M/S|100.0|2018-04-03T13:46:57|2019-03-21T11:24:47
ES|CBRE||HHZ|28.627437|-17.791452|575.0|0.0|0.0|-90.0|NmxTCompact120s754VmsNmxCentaur40Vpp1mHzRFonLinPha|301720000.0|1.0|M/S|100.0|2019-03-21T11:56:10|
ES|CCAL||EHE|27.712828|-18.147203|111.0|0.0|118.0|0.0|LE3DLiteMkI@1s400VmsNmxTaurus4VppLImp1mHzRFon|1598940000.0|10.0|M/S|100.0|2016-06-09T19:14:15|2016-07-12T11:32:41
