#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|CREA|28.3529|-16.5807|940.0|Los Realejos (Tenerife),Spain|2017-03-31T10:52:46|
ES|CROM|28.755682|-17.895141|2225.0|Garafia (La Palma),Spain|2017-10-10T13:25:54|
ES|CROQ|28.291017|-16.682017|1983.0|Icod de los Vinos (Tenerife),Spain|2025-11-18T15:00:00|
ES|CRST|27.6424|-17.9828|3.0|Frontera,El Hierro,Spain|2011-09-29T13:40:20|2016-03-29T10:53:20
ES|CTAB|27.749386|-18.085761|140.0|La Tabla, Frontera (El Hierro),Spain|2011-07-18T00:00:00|
ES|CTAC|27.674889|-18.020452|165.0|Tacoron (Frontera - El Hierro),Spain|2018-07-04T10:28:49|
ES|CTAN|27.75438|-18.0543|18.0|Valle Majano, Frontera (El Hierro),Spain|2011-07-22T14:24:50|
ES|CTEN|28.48222|-17.83701|460.0|Fuencaliente (La Palma),Spain|2017-06-02T12:44:29|
ES|CTFS|28.084686|-16.632746|480.0|San Miguel de Abona (Tenerife),Spain|2017-11-02T11:00:00|
ES|CTIG|27.7882|-17.9221|530.0|Valverde (El Hierro),Spain|2009-09-03T05:41:20|
ES|CTIM|28.998548|-13.749863|365.0|Tinajo (Lanzarote),Spain|2019-11-26T00:00:00|
ES|CTIR|28.028799|-15.752773|841.0|Artenara (Gran Canaria),Spain|2025-06-23T11:30:00|
ES|CURS|28.395662|-16.485751|1131.0|Santa Ursula (Tenerife),Spain|2026-02-12T12:00:00|
ES|CVEN|27.906677|-15.731063|287.0|Mogan (Gran Canaria),Spain|2023-06-24T06:56:44|
ES|CVIE|28.5921|-17.8226|1500.0|Villa de Mazo (La Palma - Santa Cruz de Tenerife),Spain|2017-10-11T12:54:47|2021-04-08T12:30:29
ES|CVIL|28.159329|-16.642453|1490.0|Vilaflor (Tenerife),Spain|2016-10-03T17:02:00|
ES|E0101|36.7679|-2.6093|70.0|Roquetas de Mar,Almeria,Spain|2012-04-19T17:20:40|2012-06-11T18:29:50
ES|E0201|38.0385|-3.2787|845.0|Torreperogil,Jaen,Spain|2012-12-11T09:46:40|2014-06-05T17:40:09
ES|E0202|38.183|-3.3112|654.0|Navas de San Juan,Jaen,Spain|2012-12-18T09:17:40|2013-04-29T11:57:20
ES|E0203|38.1085|-3.0832|794.0|Villacarrillo,Jaen,Spain|2012-12-18T09:26:10|2013-06-10T16:02:40
ES|E0204|38.096|-3.5305|329.0|Vilches,Jaen,Spain|2013-03-05T14:03:30|2013-06-11T14:27:50
ES|E0301|39.8986|0.6848|0.0|Islas Columbretes,Castellon/Castello,Spain|2014-01-05T00:00:00|2015-08-17T22:43:50
ES|E0401|40.7899|-2.7488|940.0|Barriopedro,Guadalajara,Spain|2014-06-25T09:22:04|2014-07-08T18:11:18
ES|E0402|40.8594|-2.8839|850.0|Ledanca,Guadalajara,Spain|2014-07-13T00:00:00|2016-01-27T11:36:21
ES|E0403|40.7894|-2.7527|900.0|Barriopedro,Guadalajara,Spain|2014-07-11T05:30:00|2016-02-02T13:42:33
ES|E0501|37.94476|-3.6372|265.0|Villatorres,Jaen,Spain|2014-09-17T17:23:23|2015-06-18T08:55:25
ES|E0601|37.8778|-1.707|871.7|Zarzadilla de Totana (Murcia),Spain|2014-10-30T17:37:45|2015-12-14T13:07:51
